cycle,phase,y_out
678,015337890d6f,010a3b87ab205b
679,0153e0c9acc1,010ac02dc8b218
680,01540c712218,010ae264534756
681,0154fc99cff9,010b9e9c3d7738
682,01551295aa25,010bafd6e5c427
683,0155f186abe3,010c5e8fdb5866
684,01564506218a,010c9ffffeb898
685,0156b8331870,010cfa43831d70
686,0157273fbf4e,010d514b118812
687,0157b955b672,010dc3c7b2cd77
688,01584a698294,010e3579cfc0bb
689,0158cc54e198,010e9b4aada77f
690,01597c502bf8,010f25346c851f
691,0159e5a2b2cb,010f77be3cfbc9
692,015a1c222f38,010fa2739a4771
693,015ad0d909a1,0110301235e4b2
